Grain ID,Euler1 (rad),Euler2 (rad),Euler3 (rad),Size (pixels),Size (um^2),Peak SAW Frequency (Hz)
0,5.059767682341872,0.6844570981349702,0.17492030433069933,32,18012.323681280002,289466719.59772396
1,4.039301931544539,0.7103243746092781,0.8841048221579946,60,33773.1069024,301080448.69589156
2,1.6165282722588592,0.6316403489578194,1.1691658194593941,92,51785.430583680005,297923050.7320394
3,2.6049236649776173,0.2933198199048943,1.4725323166316835,14,7880.391610560001,289045983.0866807
4,5.001730116821507,0.7329696293513502,0.36955722998524354,134,75426.60541536001,290311877.9031188
5,5.549875797169431,0.448569745973385,1.4708835361144816,119,66983.32868976,288626467.8717509
6,6.042049550633396,0.6909518677016246,0.39445543541493117,60,33773.1069024,295049905.5840302
7,5.291285884635336,0.8538174637128786,0.5267733348316292,39,21952.519486560002,293093052.85723853
8,1.4994996504499523,0.795510855010809,0.3828920041668657,151,84995.65237104,292877225.8669166
9,4.240807302086372,0.8106875300127633,0.5225137705498988,74,41653.49851296,299493428.2584885
10,3.7026825545663296,0.7181285122659272,0.27125506815072425,117,65857.55845968,300625300.6253006
11,0.3799479537225966,0.5802042790961444,0.18981159248028862,12,6754.621380480001,301994891.9721129
12,0.7154233701337855,0.5294636635338194,0.398658209232139,101,56851.39661904001,299043062.2009569
13,3.767853151703709,0.12068109288268788,0.34634357837028196,97,54599.85615888001,289677547.50711775
14,1.3344791699388374,0.5620793570262926,0.39001441127950814,11,6191.73626544,295488315.5477509
15,0.8127482064807559,0.703083679926117,1.1292623630106695,166,93438.92909664001,302224371.3733075
16,2.342285560829089,0.7696759961042998,1.2735745672016814,42,23641.174831680004,289677547.50711775
17,2.7908978394015804,0.8249463784998164,0.5638012688092869,80,45030.809203200006,296369055.6835117
18,1.3148639519070182,0.26781616264090685,1.4016699477386514,347,195321.13491888004,291375291.37529135
19,3.8941223523933157,0.5007570489148419,0.9350943168127956,24,13509.242760960002,297477391.71822935
20,5.3365798310699155,0.7529343805698349,0.42526286518718825,122,68671.98403488,290948992.48520315
21,4.454238005568484,0.7523659399172425,0.9106482368743021,109,61354.47753936001,295928030.30303025
22,1.106124438679648,0.5067898269964198,1.4285793442934787,32,18012.323681280002,300171526.5866209
23,5.5497004784335235,0.7342382409189844,0.11601516481363579,95,53474.08592880001,288417166.58975536
24,4.6448365567496985,0.5811661879856592,1.012431474811405,27,15197.898106080002,298594048.5940485
25,0.6886085305863533,0.6847602567978329,0.27588332154692347,82,46156.57943328001,301308539.9449035
26,0.00020680973374520136,0.49066813333053544,0.44291696855235346,30,16886.5534512,295268947.830195
27,1.3654965639880077,0.44131352424564296,1.3771890781997598,34,19138.093911360003,295488315.5477509
28,2.233301751779618,0.3597213398606648,0.4544659449010694,31,17449.438566240002,289045983.0866807
29,5.60894994468225,0.5835675851533649,1.2957305288755334,38,21389.634371520002,289256198.3471074
30,5.318473738141691,0.5918016463515088,1.0361788666125982,22,12383.47253088,289677547.50711775
31,5.984682242124246,0.47206548159027323,0.7054730610408365,26,14635.012991040003,292017087.17127216
32,2.9216097938849392,0.6073943196160252,0.995777489994283,28,15760.783221120002,292661716.5027761
33,2.1402164366855576,0.8436260225354312,0.5098664383383488,35,19700.979026400004,292877225.8669166
34,3.268068549157374,0.7148060255049061,0.5767962630545913,37,20826.74925648,299719120.3671987
35,3.908161585555619,0.28095838149045127,0.7695722711962082,29,16323.668336160003,291375291.37529135
36,3.028911106286502,0.43771403019829697,1.1600347927916395,13,7317.506495520001,290736310.4731525
37,4.442391278222693,0.6391718189786861,1.0885863954515738,66,37150.417592640006,299493428.2584885
38,2.6674608822630304,0.41286903674148406,0.9114396431546637,15,8443.2767256,290100125.9863404
39,0.11672723006832879,0.1881988810351358,1.190813203903239,86,48408.11989344001,289045983.0866807
40,0.19608311499987283,0.7802210657580358,0.9456269036674829,24,13509.242760960002,293742446.6228011
41,2.4633819956975196,0.15182596338277984,0.5899054046353561,88,49533.89012352,287999473.3723915
42,0.028793724613594078,0.16028343093545402,0.7382732122819452,57,32084.451557280005,290100125.9863404
43,0.5219005429612201,0.29596526636603726,0.6418830936434652,30,16886.5534512,292017087.17127216
44,6.166209970844397,0.6318965253175578,1.5398156776172447,73,41090.61339792,293093052.85723853
45,6.112121493120372,0.805446568631772,1.4791972417667985,98,55162.74127392001,292017087.17127216
46,0.9645406836426074,0.466782919445928,0.8436449946847516,62,34898.877132480004,296148378.79916054
47,1.4783826557370263,0.6659530309628672,0.2642252765919032,207,116517.21881328002,294831188.0854504
48,6.05304054926641,0.41165280479925437,0.1269204636731096,165,92876.04398160001,290100125.9863404
49,5.395439005797339,0.23144650770363243,0.1231567592164883,121,68109.09891984,289045983.0866807
50,5.558846449857028,0.6602902572736828,0.16758353350321506,210,118205.87415840001,288626467.8717509
51,1.393540509848449,0.7101783493043312,0.4222006076977889,123,69234.86914992,295049905.5840302
52,2.6147100643968817,0.5544681160816339,1.0814960232185133,93,52348.315698720005,290523939.17258775
53,3.2999778980388608,0.19729373974164943,1.007754898424538,48,27018.485521920004,289466719.59772396
54,0.4608925736144432,0.6488237489089761,0.7784134077326844,96,54036.97104384001,297923050.7320394
55,0.45895088545783963,0.7500745925078597,0.5863818732832623,108,60791.592424320006,297477391.71822935
56,3.1414419299555307,0.6440326307522931,1.1859040156320984,49,27581.370636960004,292446524.0641711
57,3.9251239216113434,0.6546364331387486,1.3663594947318665,36,20263.864141440004,302684378.0268437
58,3.0957050132775032,0.3351214778643959,1.1171703639094297,24,13509.242760960002,290311877.9031188
59,1.833751530692975,0.7949415303486288,1.1474842433335966,54,30395.796212160003,296590061.6907327
60,4.031743892987352,0.6120755215229529,0.6614511670399446,24,13509.242760960002,300171526.5866209
61,2.126832519950985,0.25911062711828375,0.2390844233131933,219,123271.84019376001,289256198.3471074
62,1.1343537251254279,0.8690516309977511,0.7545015836362328,181,101882.20582224001,296148378.79916054
63,2.791347547383718,0.250302951197445,1.3413092916790064,43,24204.059946720005,289256198.3471074
64,3.8382867746798888,0.24330012433954804,0.0648718159599874,35,19700.979026400004,292446524.0641711
65,1.3368546957371839,0.16165756581333662,1.3748640801128997,12,6754.621380480001,289677547.50711775
66,4.911415028393421,0.3138341627729595,0.35745545026182385,255,143535.70433520002,289677547.50711775
67,3.4729092777265853,0.3231696066401425,0.5017706510554603,320,180123.23681280002,293309198.1764548
68,2.3052355327309946,0.8178710978297613,0.7987440728638648,143,80492.57145072002,291588909.6241002
69,3.37019466776856,0.2503088814392447,1.128130048858371,337,189692.28376848003,290100125.9863404
70,1.5055065548230153,0.4663269421486916,0.16944149961841581,377,212207.68837008002,292877225.8669166
71,0.6422460949624312,0.592840317938824,1.1097798598251005,107,60228.707309280006,300171526.5866209
72,1.6507028613667554,0.5502257811209949,0.7400626670152721,144,81055.45656576002,294394724.44653785
73,3.343292973101456,0.3171525287576842,0.8591259352681426,65,36587.532477600005,291375291.37529135
74,1.3020926607893946,0.24853947988543948,1.024520584477162,132,74300.83518528001,291588909.6241002
75,1.115516429110341,0.20053472779216583,0.6901218962007085,79,44467.924088160005,289677547.50711775
76,2.418438441969106,0.5244779802677092,0.8051969088178556,83,46719.46454832001,289256198.3471074
77,5.3090129151858685,0.37419693292196465,0.04628698113537607,100,56288.51150400001,288836073.1497986
