Grain_ID,Cluster_ID
43,-1
44,0
45,0
46,-1
47,-1
48,1
49,-1
50,2
51,-1
52,-1
53,-1
54,-1
55,3
56,-1
57,-1
59,4
60,-1
61,-1
62,5
63,6
64,-1
65,-1
68,7
69,-1
70,-1
71,-1
75,-1
76,-1
77,-1
78,8
79,-1
80,-1
81,-1
82,9
83,-1
84,-1
85,10
86,9
87,11
88,-1
89,-1
90,12
91,-1
92,-1
94,-1
95,13
96,14
97,-1
98,-1
99,15
100,16
101,-1
102,17
103,-1
104,-1
107,-1
108,-1
109,-1
111,-1
112,-1
113,-1
114,18
115,-1
116,-1
117,19
118,-1
119,-1
120,-1
121,-1
122,3
123,-1
124,-1
126,12
127,-1
131,-1
132,-1
133,-1
134,-1
135,20
137,-1
138,-1
139,21
141,22
142,-1
143,7
144,23
145,-1
146,24
148,18
149,-1
151,-1
152,-1
154,14
155,17
156,-1
157,-1
158,25
159,-1
160,26
162,-1
163,27
165,-1
166,-1
167,-1
168,-1
171,-1
172,-1
173,28
175,-1
176,7
177,-1
178,-1
179,-1
181,-1
182,-1
183,-1
184,17
185,-1
186,16
187,-1
189,29
190,-1
191,4
192,-1
193,-1
194,30
195,20
196,-1
197,31
198,-1
199,-1
201,19
202,32
203,-1
204,-1
205,33
208,-1
209,24
210,-1
211,-1
212,34
213,-1
214,35
215,11
216,-1
217,-1
218,30
219,31
220,-1
221,-1
223,36
224,-1
225,-1
226,-1
228,-1
229,-1
231,7
232,-1
234,-1
235,-1
236,-1
237,-1
238,37
239,38
240,39
241,-1
242,32
243,-1
244,-1
245,10
246,-1
249,-1
250,-1
251,-1
252,-1
253,-1
254,-1
255,-1
257,-1
258,40
259,5
260,-1
261,24
262,41
263,-1
266,42
267,-1
268,-1
269,-1
270,-1
271,-1
272,-1
273,-1
274,41
275,-1
276,25
277,-1
278,-1
280,43
281,-1
283,-1
284,-1
285,44
286,-1
287,-1
288,-1
290,38
291,-1
292,35
293,-1
294,45
295,-1
296,46
297,47
298,-1
299,-1
300,8
303,-1
304,0
305,29
306,37
307,48
310,-1
311,49
312,23
313,44
314,-1
315,50
316,-1
317,-1
318,-1
319,-1
320,-1
321,-1
322,51
323,52
324,-1
325,28
326,-1
327,-1
329,-1
330,-1
331,-1
332,39
333,-1
334,0
335,48
336,13
337,53
338,-1
340,-1
341,-1
342,54
344,55
345,-1
346,-1
347,-1
348,-1
349,-1
350,54
351,-1
352,56
353,-1
354,49
355,-1
356,-1
357,-1
358,29
359,-1
360,-1
361,14
362,-1
363,-1
364,-1
365,-1
367,55
368,57
369,43
370,58
371,-1
372,-1
373,59
374,60
375,60
377,-1
378,-1
379,45
382,-1
384,-1
385,4
386,-1
387,-1
388,-1
389,-1
390,-1
391,-1
392,-1
393,15
394,-1
395,-1
396,-1
397,-1
398,-1
400,-1
401,-1
402,6
403,-1
405,-1
406,-1
407,-1
408,-1
409,25
410,61
411,62
412,33
413,-1
414,-1
415,-1
416,-1
417,63
418,64
419,-1
420,62
421,-1
422,-1
423,-1
424,-1
426,-1
427,64
428,26
429,65
430,62
431,-1
432,-1
433,-1
434,-1
435,-1
436,-1
437,-1
438,-1
439,-1
440,-1
442,47
443,-1
444,-1
445,-1
446,53
447,-1
448,-1
450,-1
451,-1
452,66
453,67
454,-1
457,-1
458,56
459,-1
460,-1
461,51
462,-1
463,42
464,-1
465,66
466,29
467,-1
468,-1
469,-1
470,-1
471,22
474,-1
475,-1
477,-1
478,-1
479,-1
480,-1
481,-1
482,-1
483,-1
484,-1
485,63
486,34
488,-1
489,-1
490,-1
491,3
492,68
493,42
494,-1
495,-1
496,-1
497,59
498,68
499,-1
500,-1
501,-1
502,58
503,-1
504,-1
505,-1
506,-1
507,-1
508,45
509,69
511,27
512,50
513,-1
514,-1
515,-1
516,-1
517,-1
518,-1
520,-1
521,-1
522,0
523,-1
524,65
526,42
527,-1
528,32
529,69
530,-1
531,-1
532,-1
533,-1
534,-1
535,-1
536,8
537,-1
538,-1
539,1
540,25
541,-1
542,-1
543,52
544,36
545,-1
546,-1
547,-1
548,-1
549,-1
550,-1
551,52
552,70
553,-1
554,-1
555,-1
556,-1
557,-1
558,-1
559,-1
560,-1
561,-1
562,-1
563,17
564,-1
565,47
566,-1
567,21
568,67
569,61
570,61
571,-1
572,46
573,57
574,2
575,-1
576,-1
577,40
578,-1
579,-1
580,70
581,-1
