angle_deg,ks,w1,n_pred,n_exp
0.0,0.5044065574113974,4.143818758742066,616,3719
2.0,0.5011598041646442,4.137890205789947,616,3719
4.0,0.5027831807880208,4.074528902728487,616,3719
6.0,0.5011598041646442,4.166686180937606,616,3719
8.0,0.49953642754126754,4.156292869109105,616,3719
10.0,0.49791305091789095,4.140304562839458,616,3719
12.0,0.4946662976711377,4.1828313164510655,616,3719
14.0,0.49304292104776104,4.133923798895917,616,3719
16.0,0.4946662976711377,4.201766396726699,616,3719
18.0,0.49791305091789095,4.157164092889793,616,3719
20.0,0.4962896742945143,4.161800013510294,616,3719
22.0,0.49791305091789095,4.1198830079814,616,3719
24.0,0.49791305091789095,4.156691340670431,616,3719
26.0,0.49791305091789095,4.127796835519775,616,3719
28.0,0.49791305091789095,4.096228244420303,616,3719
30.0,0.49791305091789095,4.0915706036658115,616,3719
32.0,0.49304292104776104,4.109290588354021,616,3719
34.0,0.49304292104776104,4.076676787011136,616,3719
36.0,0.49141954442438446,4.04913631698115,616,3719
38.0,0.49304292104776104,4.081017523932192,616,3719
40.0,0.49141954442438446,4.138552279224516,616,3719
42.0,0.4962896742945143,4.132553044905457,616,3719
44.0,0.49791305091789095,4.158311386220163,616,3719
46.0,0.4946662976711377,4.150100487319921,616,3719
48.0,0.49304292104776104,4.175014777237053,616,3719
50.0,0.49304292104776104,4.183939063609946,616,3719
52.0,0.4962896742945143,4.1353586818366725,616,3719
54.0,0.49953642754126754,4.201241563383572,616,3719
56.0,0.4962896742945143,4.274302396772789,616,3719
58.0,0.49791305091789095,4.311220427526453,616,3719
60.0,0.49791305091789095,4.293267583336137,616,3719
62.0,0.49141954442438446,4.311927927900163,616,3719
64.0,0.49141954442438446,4.297276019983778,616,3719
66.0,0.4897961678010078,4.326124670532403,616,3719
68.0,0.48654941455425454,4.2937807841329425,616,3719
70.0,0.4881727911776312,4.25979283989888,616,3719
72.0,0.4897961678010078,4.269828541788086,616,3719
74.0,0.48654941455425454,4.2153172715222365,616,3719
76.0,0.4881727911776312,4.265981268094244,616,3719
78.0,0.48654941455425454,4.275796104981807,616,3719
80.0,0.4897961678010078,4.21680244115662,616,3719
82.0,0.48654941455425454,4.1785844002828165,616,3719
84.0,0.48492603793087796,4.122242789985183,616,3719
86.0,0.48654941455425454,4.157633295055886,616,3719
88.0,0.48492603793087796,4.125930717858097,616,3719
90.0,0.48654941455425454,4.163545358813957,616,3719
92.0,0.4881727911776312,4.143016837234089,616,3719
94.0,0.4833026613075013,4.039859306057399,616,3719
96.0,0.48005590806074805,4.053950055152976,616,3719
98.0,0.4816792846841247,4.046144692196636,616,3719
100.0,0.47843253143737147,4.070767312718958,616,3719
102.0,0.4816792846841247,4.065671543709183,616,3719
104.0,0.4816792846841247,4.108408906536408,616,3719
106.0,0.48492603793087796,4.108724443150786,616,3719
108.0,0.49141954442438446,4.16711583642123,616,3719
110.0,0.49304292104776104,4.199803410147741,616,3719
112.0,0.4962896742945143,4.167684470580687,616,3719
114.0,0.4962896742945143,4.220934530578388,616,3719
116.0,0.4962896742945143,4.154065622115816,616,3719
118.0,0.4946662976711377,4.200718540046643,616,3719
120.0,0.4962896742945143,4.152291793074401,616,3719
122.0,0.49304292104776104,4.110199392212103,616,3719
124.0,0.4897961678010078,4.119834368542754,616,3719
126.0,0.4897961678010078,4.126410978490796,616,3719
128.0,0.4897961678010078,4.131314383979069,616,3719
130.0,0.4897961678010078,4.141115630070174,616,3719
132.0,0.4897961678010078,4.111422641559308,616,3719
134.0,0.49141954442438446,4.103300427429868,616,3719
136.0,0.4897961678010078,4.099315016875665,616,3719
138.0,0.4881727911776312,4.0832908614028725,616,3719
140.0,0.4897961678010078,4.032734795543369,616,3719
142.0,0.4881727911776312,4.004122396502458,616,3719
144.0,0.4897961678010078,4.052082462411385,616,3719
146.0,0.48654941455425454,4.005237637047172,616,3719
148.0,0.49141954442438446,3.9869402837131687,616,3719
150.0,0.49141954442438446,3.966763856563485,616,3719
152.0,0.4962896742945143,3.95417480566675,616,3719
154.0,0.4962896742945143,3.928969415266069,616,3719
156.0,0.4962896742945143,3.9014306268344785,616,3719
158.0,0.4962896742945143,3.9032082789335534,616,3719
160.0,0.49791305091789095,3.896706340968187,616,3719
162.0,0.4946662976711377,3.919308883468054,616,3719
164.0,0.4946662976711377,3.925178467108813,616,3719
166.0,0.4962896742945143,3.9057547163458173,616,3719
168.0,0.49791305091789095,3.96868414089648,616,3719
170.0,0.4946662976711377,3.9288185697307076,616,3719
172.0,0.49953642754126754,3.9456158619354023,616,3719
174.0,0.5027831807880208,4.097517481240298,616,3719
176.0,0.5027831807880208,4.105091097708325,616,3719
178.0,0.5027831807880208,4.1215657208166885,616,3719
